"Label","Eqpt ID(Hex)","Parameter Name","Units","Range(Scale)","Sig Bits","Pos Sense","Resolution","Min Transit Interval(msec) 2","Max Transit Interval(msec) 2","Max Trans-port Delay(msec) 3","Notes & Cross Ref. to Tables and Attachments"
,,,,,,,,,,,
"0 0 1","0 0 2","Distance to Go                  ","N.M.    ","?3999.9      ",5,,0.1,100,200,,06/25/13
,"0 5 6","Distance to Go                  ","N.M.    ","?3999.9      ",5,,0.1,100,200,,
,"0 6 0","Distance to Go                  ","N.M.    ","?3999.9      ",5,,0.1,100,200,,
,,,,,,,,,,,
"0 0 2","0 0 2","Time to Go                      ","Min     ","0-399.9       ",4,,0.1,100,200,,06/25/13
,"0 5 6","Time to Go                      ","Min     ","0-399.9       ",4,,0.1,100,200,,
,"0 6 0","Time to Go                      ","Min     ","0-399.9       ",4,,0.1,100,200,,
,"1 1 5","Time to Station                 ","Min     ","0-399.9       ",4,,0.1,50,50,,"                  "
,,,,,,,,,,,
"0 0 3","0 0 2","Cross Track Distance            ","N.M.    ","0-399.9       ",4,,0.1,100,200,,06/25/13
,,,,,,,,,,,
"0 0 4","0 0 1","Runway Distance to Go           ","Feet    ","0-79900       ",3,,100,100,200,,"                  "
,,,,,,,,,,,
"0 1 0","0 0 2","Present Position - Latitude     ","Deg:Min ","180N-180S",6,"N",0.1,250,500,,"Section 2.1.2"
,"0 0 4","Present Position - Latitude     ","Deg:Min ","180N-180S",6,"N",0.1,250,500,,"Section 2.1.2"
,"0 3 8","Present Position - Latitude     ","Deg:Min ","180N-180S     ",6,"N",0.1,250,500,,"                  "
,,,,,,,,,,,
"0 1 1","0 0 2","Present Position - Longitude    ","Deg:Min ","180E-180W     ",6,"E",0.1,250,500,,"                  "
,"0 0 4","Present Position - Longitude    ","Deg:Min ","180E-180W     ",6,"E",0.1,250,500,,"                  "
,"0 3 8","Present Position - Longitude    ","Deg:Min ","180E-180W     ",6,"E",0.1,250,500,,"                  "
,,,,,,,,,,,
"0 1 2","0 0 2","Ground Speed                    ","Knots   ","0-7000        ",4,,1,250,500,,06/25/13
,"0 0 4","Ground Speed                    ","Knots   ","0-7000        ",4,,1,250,500,,"                  "
,"0 4 D","Qty-LD SEL (LB)","Lbs.","0-79999",5,,1,,,,
,"0 0 5","Ground Speed                    ","Knots   ","0-7000        ",4,,1,250,500,,"                  "
,"0 2 5","Ground Speed                    ","Knots   ","0-7000        ",4,,1,125,250,,"                  "
,"0 3 8","Ground Speed                    ","Knots   ","0-7000        ",4,,1,250,500,,"                  "
,"0 5 6","Ground Speed                    ","Knots   ","0-7000        ",4,,1,250,500,,
,"0 6 0","Ground Speed                    ","Knots   ","0-7000        ",4,,1,250,500,,
,,,,,,,,,,,
"0 1 3","0 0 2","Track Angle - True              ","Deg     ","0-359.9       ",4,,0.1,250,500,,06/25/13
,"0 0 4","Track Angle - True              ","Deg     ","0-359.9       ",4,,0.1,250,500,,"                  "
,"0 4 D","Qty-Flt. Deck (LB)","Lbs.","0-79999",5,,1,,,,
,"0 3 8","Track Angle - True              ","Deg     ","0-359.9       ",4,,0.1,250,500,,"                  "
,,,,,,,,,,,
"0 1 4","0 0 4","Magnetic Heading                ","Deg     ","0-359.9       ",4,,0.1,250,500,,"                  "
,"0 0 5","Magnetic Heading                ","Deg","0-359.9       ",4,,0.1,250,500,,"                  "
,"0 3 8","Magnetic Heading                ","Deg     ","0-359.9       ",4,,0.1,250,500,,"                  "
,,,,,,,,,,,
"0 1 5","0 0 2","Wind Speed                      ","Knots   ","0-799         ",3,,1,250,500,,"                  "
,"0 0 4","Wind Speed                      ","Knots   ","0-799         ",3,,1,250,500,,"                  "
,"0 0 5","Wind Speed                      ","Knots   ","0-799         ",3,,1,250,500,,"                  "
,"0 3 8","Wind Speed                      ","Knots   ","0-799         ",3,,1,250,500,,"                  "
,,,,,,,,,,,
"0 1 6","0 0 4","Wind Direction - True           ","Deg     ","0-359         ",3,,1,250,500,,"                  "
,"0 3 8","Wind Direction - True           ","Deg     ","0-359         ",3,,1,250,500,,"                  "
,,,,,,,,,,,
"0 1 7","0 1 0","Selected Runway Heading         ","Deg     ","0-359.9       ",4,,0.1,167,333,,"                  "
,"0 4 D","Total-Flt. Deck (LB)","Lbs.","0-79999",5,,1,,,,
,"0 5 5","Selected Runway Heading","Deg","0-359.9",4,,0.1,,,,
,"0 A 0","Selected Runway Heading         ","Deg     ","0-359.9       ",4,,0.1,167,333,,"                  "
,"0 B 0","Selected Runway Heading         ","Deg     ","0-359.9       ",4,,0.1,167,333,,"                  "
,,,,,,,,,,,
"0 2 0","0 2 0","Selected Vertical Speed         ","Ft/Min    ","?6000              ",4,,1,100,200,,06/25/13
,"0 4 D","Tnk-LD SEL (LB)","Lbs.","0-79999",5,,1,,,,
,"0 A 1","Selected Vertical Speed         ","Ft/Min  ","?6000        ",4,"Up",1,100,200,,"                  "
,,,,,,,,,,,
"0 2 1","0 0 2","Selected EPR                    ","EPR       ","0-3           ",4,,0.001,100,200,,"                  "
,"0 0 2","Selected N1                     ","RPM     ","0-3000        ",4,,1,100,200,,"                  "
,"0 2 0","Selected EPR                    ","EPR      ","0-3           ",4,,0.001,100,200,,"                  "
,"0 2 0","Selected N1                     ","RPM     ","0-3000        ",4,,1,100,200,,"                  "
,"0 A 1","Selected EPR                    ","EPR","0-3           ",3,,0.001,100,200,,"                  "
,"0 A 1","Selected N1                     ","RPM     ","0-3000        ",4,,1,100,200,,"                  "
,,,,,,,,,,,
"0 2 2","0 2 0","Selected Mach                   ","Mach    ","0-4           ",4,,0.001,100,200,,"                  "
,"0 4 D","Qty-LD SEL (KG)","Kg","0-79999",5,,1,,,,
,"0 A 1","Selected Mach                   ","Mach    ","0-4           ",4,,0.001,100,200,,"                  "
,,,,,,,,,,,
"0 2 3","0 2 0","Selected Heading                ","Deg     ","0-359         ",3,,1,100,200,,06/25/13
,"0 4 D","Qty-Flt Deck (KG)","Kg","0-79999",5,,1,,,,
,"0 A 1","Selected Heading                ","Deg     ","0-359         ",3,,1,100,200,,"                  "
,,,,,,,,,,,
"0 2 4","0 1 1","Selected Course #1              ","Deg     ","0-359         ",3,,1,167,333,,06/25/13
,"0 2 0","Selected Course #1              ","Deg     ","0-359         ",3,,1,167,333,,"                  "
,"0 A 1","Selected Course #1              ","Deg     ","0-359         ",3,,1,167,333,,"                  "
,"0 B 1","Selected Course #1              ","Deg     ","0-359         ",3,,1,167,333,,"                  "
,,,,,,,,,,,
"0 2 5","0 2 0","Selected Altitude               ","Feet    ","0-50000",5,,1,100,200,,06/25/13
,"0 A 1","Selected Altitude               ","Feet    ","0-50000",5,,1,100,200,,"          "
,,,,,,,,,,,
"0 2 6","0 0 3","Selected Airspeed               ","Knots   ","30-450        ",3,,1,100,200,,06/25/13
,"0 2 0","Selected Airspeed               ","Knots   ","30-450        ",3,,1,100,200,,"                  "
,"0 A 1","Selected Airspeed               ","Knots   ","30-450        ",3,,1,100,200,,"                  "
,,,,,,,,,,,
"0 2 7","0 0 2","TACAN Selected Course","Deg","0-359",3,,1,167,333,,
,"0 1 1","Selected Course #2              ","Deg     ","0-359         ",3,,1,167,333,,"                  "
,"0 2 0","Selected Course #2              ","Deg     ","0-359         ",3,,1,167,333,,"                  "
,"0 4 D","Total-Flt Deck (KG)","Kg","0-79999",5,,1,,,,
,"0 5 6","TACAN Selected Course","Deg","0-359",3,,1,167,333,,
,"0 6 0","TACAN Selected Course (BCD)","Deg","0-359",3,,1,167,333,,
,"0 A 1","Selected Course #2              ","Deg     ","0-359         ",3,,1,167,333,,"                  "
,"0 B 1","Selected Course #2              ","Deg     ","0-359         ",3,,1,167,333,,"                  "
,,,,,,,,,,,
"0 3 0","0 2 0","VHF COM Frequency               ","        ","See Chapter 3 ",,,,100,200,,06/01/45
,"0 2 4","VHF COM Frequency               ","        ","See Chapter 3 ",,,,100,200,,"                  "
,"0 4 D","TNK-LD SEL (KG)","Kg","0-79999",5,,1,,,,
,"0 B 6","VHF COM Frequency               ","        ","See Chapter 3 ",,,,100,200,,"                  "
,,,,,,,,,,,
"0 3 1","0 2 0","Beacon Transponder Code         ","        ","See Chapter 3 ",,,,100,200,,06/01/46
,"0 B 8","Beacon Transponder Code         ","        ","See Chapter 3 ",,,,100,200,,"                  "
,,,,,,,,,,,
"0 3 2","0 1 2","ADF Frequency                   ","        ","See Chapter 3 ",,,,100,200,,06/01/40
,"0 2 0","ADF Frequency                   ","        ","See Chapter 3 ",,,,100,200,,"                  "
