"Label","Eqpt ID(Hex)","Parameter Name","Units","Range(Scale)","Sig Bits","Pos Sense","Resolution","Min Transit Interval(msec) 2","Max Transit Interval(msec) 2","Max Trans-port Delay(msec) 3","Notes & Cross Ref. to Tables and Attachments"
,,,,,,,,,,,
"0 0 5","0 D 0","Engine Discrete",,,,,,,,,"Bit 11-Chan. A/
Bit 12-Chan. B"
,,,,,,,,,,,
"0 2 5","0 4 D","Load SEL Control","NA",204700,11,,100,,,,
,,,,,,,,,,,
"0 3 4","0 2 5","VOR/ILS Frequency",,,,,,125,250,,
,,,,,,,,,,,
"0 3 5","0 2 5","DME Frequency",,,,,,125,250,,
,,,,,,,,,,,
"0 5 2","0 0 4","Body Pitch Acceleration","Deg/Sec2"," ?  64",15,,0.002,"50 Hz","117 Hz",,
,"0 3 8","Body Pitch Acceleration","Deg/Sec2"," ?  64",15,,0.002,"50 Hz","117 Hz",,
,,,,,,,,,,,
"0 5 3","0 0 4","Body Roll Acceleration","Deg/Sec2"," ?  64",15,,0.002,"50 Hz","117 Hz",,
,"0 3 8","Body Roll Acceleration","Deg/Sec2"," ?  64",15,,0.002,"50 Hz","117 Hz",,
,,,,,,,,,,,
"0 5 4","0 0 4","Body Yaw Acceleration","Deg/Sec2"," ?  64",15,,0.002,"50 Hz","117 Hz",,
,"0 3 7","Zero Fuel Weight (Kg)","Kg",655360,15,,20,100,200,,
,"0 3 8","Body Yaw Acceleration","Deg/Sec2"," ?  64",15,,0.002,"50 Hz","117 Hz",,
,,,,,,,,,,,
"0 6 0","0 3 C","Tire Pressure (Left Outer) ","PSIA     ",1024,10,,1,50,250,,
,,,,,,,,,,,
"0 6 1","0 0 2","ACMS Information",,,,,,,,,06/29/13
,"0 0 B","Pseudo Range","Meters"," ?  268435456",20,,256,200,1200,,
,"0 3 C","Tire Pressure (Left Inner)              ","PSIA    ",1024,10,,1,50,250,,
,"0 5 6","ACMS Information",,,,,,,,,
,"0 6 0","ACMS Information",,,,,,,,,
,,,,,,,,,,,
"0 6 2","0 0 2","ACMS Information",,,,,,,,,06/29/13
,"0 0 B","Pseudo Rang Fine","Meters",256,11,,0.125,200,1200,,
,"0 3 C","Tire Pressure (Right Inner)             ","PSIA    ",1024,10,,1,50,250,,
