"Equip ID(Hex)","Equipment Type"
"0","Not Used"
"1","Flight Control Computer (701)"
"2","Flight Management Computer (702)"
"3","Thrust Control Computer (703)"
"4","Inertial Reference System (704)"
"5","Attitude and Heading Ref. System (705)"
"6","Air Data System (706)"
"7","Radio Altimeter (707)"
"8","Airborne Weather Radar (708)"
"9","Airborne DME (709)"
"00A","FAC (A310)"
"00B","Global Positioning System (743)"
"00C",
"00D","AIDS Data Management Unit"
"00E",
"00F",
"10","Airborne ILS Receiver (710)"
"11","Airborne VOR Receiver (711)"
"12","Airborne ADF System (712)"
"13",
"14",
"15",
"16","Airborne VHF COM (716)"
"17","DEFDARS-AIDS (717)"
"18","ATC Transponder (718)"
"19","Airborne HF/SSB System (719)"
"01A","Electronic Supervisory Control                         [1]"
"01B","Digital Slat/Flap Computer (A310)"
"01C","Engine Parameter Digitizer (Engine)"
"01D","A/P & F/D Mode Control Panel (757/767)"
"01E","Performance Data Computer (Boeing 737)"
"01F","Fuel Quantity Totalizer"
"20","DFS System (720)"
"21",
"22",
"23","Ground Prox. Warning System (723)"
"24","ACARS (724) / CMU Mark 2 (758)"
"25","Electronic Flt. Instruments (725)"
"26","Flight Warning Computer (726)"
"27","Microwave Landing System (727)"
"28",
"29","ADDCS (729) and EICAS"
"02A","Thrust Management Computer"
"02B","Perf. Nav. Computer System (Boeing 737)"
"02C","Digital Fuel Gauging System (A310)"
"02D","EPR Indicator (Boeing 757)"
"02E","Land Rollout CU/Landing C & LU"
"02F","Full Authority EEC-A"
"30","Airborne Separation Assurance System"
"31","Chronometer (731)"
"32","Pass. Entertainment Tape Reproducer (732)"
"33","Propulsion Multiplexer (PMUX)(733)"
"34","Fault Isolation & Detection System (734)"
"35","TCAS (735)"
"36","Radio Management System (736)"
"37","Weight and Balance System (737)"
"38","ADIRS (738)"
"39","MCDU (739)"
"03A","Propulsion Discrete Interface Unit"
"03B","Autopilot Buffer Unit"
"03C","Tire Pressure Monitoring System"
"03D","Airborne Vibration Monitor (737/757/767)"
"03E","Center of Gravity Control Computer"
"03F","Full Authority EEC-B"
"40","Cockpit Printer (740)"
"41","Satellite Data Unit"
"42",
"43",
"44",
"45",
"46","CTU"
"47","Digital Flight Data Recorder"
"48",
"49",
"04A","Landing Gear Position Interface Unit"
"04B","Main Electrical System Controller"
"04C","Emergency Electrical System Controller"
"04D","Fuel Qty. Indicating System (757/767)"
"04E","Fuel Qty. Indicating System (747)"
"04F",
"50","VDR (750)"
"51",
"52",
"53","HF Data Unit"
"54",
"55","Multi-Mode Receiver (MMR) (755)"
"56","GNSS Navigation Landing Unit (GNLU)(756)"
"57","Cockpit Voice Recorder (CVR) (757)"
"58",
"59",
"05A","Fuel Quan. Indicating System (A320/A321)"
"05B","Cargo Smoke Detection Unit (A320)"
"05C","Cabin Pressure Unit (A320)"
"05D","Zone Controller (A320)"
"05E","Cargo Heat (A320)"
"05F","CIDS (A320)"
"60","GNSS Navigation Unit (GNU) (760)"
"61","High-Speed Data Unit (HSDU)"
"62",
"63",
"64",
"65",
"66",
"67",
"68",
"69",
"06A","AMU (A320)"
"06B","Battery Charge Limiter (A320)"
"06C","Flt. Cont. Data Concentrator (A320)"
"06D","Landing Gear Prox. Control (A320)"
"06E","Brake Steering Unit (A320)"
"06F","Bleed Air (A320)"
"70",
"71",
"72",
"73",
"74",
"75",
"76",
"77",
"79",
"07A","APU Engine Control Unit (A320)"
"07B","Engine Interface Unit (A320)"
"07C","FADEC Channel A (A320)"
"07D","FADEC Channel B (A320)"
"07E","Centralized Fault Data Interface Unit"
"07F","Fire Detection Unit (A320)"
"80",
"81",
"82",
"83",
"84",
"85",
"86",
"87",
"88",
"89",
"08A","Window Heat Computer (A320)"
"08B","Probes Heat Computer (A320)"
"08C","Avionics Cooling Computer (A320)"
"08D","Fuel Flow Indicator (B747)"
"08E","Surface Position Digitizer (B747-400)"
"08F","Vacuum System Controller"
"90",
"91",
"93",
"94",
"95",
"96",
"97",
"98",
"99",
"09A",
"09B",
"09C",
"09D",
"09E",
"09F",
"0A0",
"0A1","FCC Controller (701)"
"0A2","FMC Controller (702)"
"0A3","Thrust Rating Controller (703)"
"0A4","IRS Controller (704)"
"0A5",
"0A6",
"0A7",
"0A8","Airborne WXR Controller (708)"
"0A9","Airborne DME Controller (709)"
"0AA","Generator Control Unit (A320)"
"0AB","Air Supply Control & Test Unit (B747-400)"
"0AC","Bus Control Unit (B747-400)"
"0AD","ADIRS Air Data Module"
"0AE","Yaw Damper Module (B747-400)"
"0AF","Stabilizer Trim Module (B747-400)"
"0B0","Airborne ILS Controller (710)"
"0B1","Airborne VOR Controller (711)"
"0B2","Airborne ADF Controller (712)"
"0B3",
"0B4",
"0B5",
"0B6","VHF COM Controller (716)"
"0B7",
"0B8","ATC Transponder Controller (718)"
"0B9","HF/SSB System Controller (719)"
"0BA","Power Supply Module (B747-400)"
"0BB","Flap Control Unit (B747-400)"
,"Flap Slat Electronics Unit (B767-400)"
"0BC","Fuel System Interface Card (B747-400)"
"0BD","Hydraulic Quantity Monitor Unit (B747-400)"
"0BE","Hydraulic Interface Module (B747-400)"
"0BF","Window Heat Control Unit (B747-400)"
"0C0",
"0C1",
"0C2","PVS Control Unit"
"0C3","GPWS Controller (723)"
"0C4","A429W SDU Controller"
"0C5","EFI Controller (725)"
"0C6",
"0C7","MLS Controller (727)"
"0C8",
"0C9",
"0CA","Brake Temperature Monitor Unit (B747-400)"
"0CB","Autostart (B747-400)"
"0CC","Brake System Control Unit (B747-400)"
"0CD","Pack Temperature Controller (B747-400)"
"0CE","EICAS/EFIC Interface Unit (B747-400)"
"0CF","Para Visual Display Computer (B747-400)"
"0D0","Engine Instrument System (B737)"
"0D1",
"0D2",
"0D3","Thermal Monitoring Unit (General)"
"0D4",
"0D5","TCAS Control Panel"
"0D6",
"0D7",
"0D8",
"0D9",
"0DA","Prox. Switch Electronics Unit (B747-400)"
"0DB","APU Controller (B747-400)"
"0DC","Zone Temperature Controller (B747-400)"
"0DD","Cabin Pressure Controller (B747-400)"
"0DE","Windshear Computer (Sperry)"
"0DF","Equipment Cooling Card (B747-400)"
"0E0","Crew Rest Temp. Controller (B747-400)"
"0E1",
"0E2",
"0E3",
"0E4",
"0E5",
"0E6",
"0E7",
"0E8",
"0E9",
"0EA","Misc. Environment Control (B747)"
"0EB","Fuel Jettison Control Card (B747)"
"0EC","Advance Cabin Entertainment Serv. Sys."
"0ED","Fuel System Controller (MD-11)"
"0EE","Hydraulic System Controller (MD-11)"
"0EF","Environmental System Controller (MD-11)"
"0F0",
"0F1",
"0F2",
"0F3",
"0F4",
"0F5",
"0F6",
"0F7",
"0F8",
"0F9",
"0FA","Misc. System controller (MD-11)"
"0FB","Anti-Skid System (MD-11)"
"0FC","Cabin Pressure Control Sys. (MD-11)"
"0FD","Air Condition Control System (MD-11)"
"0FE","Pneumatic Control System (MD-11)"
"0FF","Manifold Failure Detection System (MD-11)"
"100",
"101",
"102",
"103",
"104",
"105",
"106",
"107",
"108","Electronic Engine Control (EEC) Channel A (B737-700)"
"109","Elect Eng Control (EEC) Channel B (B737-700)"
"10A","Full Authority Engine Control A (GE)"
"10B","Full Authority Engine Control B (GE)"
"10C","APU Controller"
"10D","Data Loader"
"10E","Fire Detection Unit (MD-11)"
"10F","Auto Brake Unit (MD-11)"
"110","Multiplexer PES (A-320)"
"111",
"112","TACAN Adapter Unit (TAU)"
"113","Stall Warning Card (B747-400)"
"114","Fuel Unit Management System (A330/A340)"
"115","TACAN"
