"Code No. (Octal)",,,"Eqpt. ID (Hex)",,,"Transmission Order Bit Position",,,,,,,,"Parameter","Data",,,,"Notes & Cross Ref. to Tables in Att. 6"
,,,,,,1,2,3,4,5,6,7,8,,"BNR","BCD","DISC","SAL",
"0     0      0",,,0,"X","X",0,0,0,0,0,0,0,0,"Not Used",,,,,
"0     0      1",,,0,0,2,0,0,0,0,0,0,0,1,"Distance to Go",,"X",,,"6-25"
,,,0,5,6,0,0,0,0,0,0,0,1,"Distance to Go",,"X",,,
,,,0,6,0,0,0,0,0,0,0,0,1,"Distance to Go",,"X",,,
"0     0      2",,,0,0,2,0,0,0,0,0,0,1,0,"Time to Go",,"X",,,"6-25"
,,,0,5,6,0,0,0,0,0,0,1,0,"Time to Go",,"X",,,
,,,0,6,0,0,0,0,0,0,0,1,0,"Time to Go",,"X",,,
,,,1,1,5,0,0,0,0,0,0,1,0,"Time to Station",,"X",,,
"0     0      3",,,0,0,2,0,0,0,0,0,0,1,1,"Cross Track Distance",,"X",,,"6-25"
"0     0      4",,,0,0,1,0,0,0,0,0,1,0,0,"Runway Distance to Go",,"X",,,
"0     0      5",,,0,"D",0,0,0,0,0,0,1,0,1,"Engine Discrete",,,"X",,
"0     0      6",,,0,"D",0,0,0,0,0,0,1,1,0,"Engine Discrete",,,"X",,
"0     0      7",,,0,,,0,0,0,0,0,1,1,1,"Spare",,,,,
"0      1      0",,,0,0,2,0,0,0,0,1,0,0,0,"Present Position - Latitude",,"X",,,"6-25-1"
,,,0,0,4,0,0,0,0,1,0,0,0,"Present Position - Latitude",,"X",,,
,,,0,3,8,0,0,0,0,1,0,0,0,"Present Position - Latitude",,"X",,,
"0      1      1",,,0,0,2,0,0,0,0,1,0,0,1,"Present Position - Longitude",,"X",,,"6-25-1"
,,,0,0,4,0,0,0,0,1,0,0,1,"Present Position - Longitude",,"X",,,
,,,0,3,8,0,0,0,0,1,0,0,1,"Present Position - Longitude",,"X",,,
"0     1     2",,,0,0,2,0,0,0,0,1,0,1,0,"Ground Speed",,"X",,,"6-25"
,,,0,0,4,0,0,0,0,1,0,1,0,"Ground Speed",,"X",,,
,,,0,0,5,0,0,0,0,1,0,1,0,"Ground Speed",,"X",,,
,,,0,2,5,0,0,0,0,1,0,1,0,"Ground Speed",,"X",,,
,,,0,3,8,0,0,0,0,1,0,1,0,"Ground Speed",,"X",,,
,,,0,4,"D",0,0,0,0,1,0,1,0,"QTY-LD SEL (LB)",,"X",,,
,,,0,5,6,0,0,0,0,1,0,1,0,"Ground Speed",,"X",,,
,,,0,6,0,0,0,0,0,1,0,1,0,"Ground Speed",,"X",,,
"0    1     3",,,0,0,2,0,0,0,0,1,0,1,1,"Track Angle - True",,"X",,,"6-25"
,,,0,0,4,0,0,0,0,1,0,1,1,"Track Angle - True",,"X",,,
,,,0,3,8,0,0,0,0,1,0,1,1,"Track Angle - True",,"X",,,
,,,0,4,"D",0,0,0,0,1,0,1,1,"QTY-FLT Deck (LB)",,"X",,,
,,,0,"B",8,0,0,0,0,1,0,1,1,"Control Word for TCAS/Mode S",,,"X",,
"0     1     4",,,0,0,4,0,0,0,0,1,1,0,0,"Magnetic Heading",,"X",,,
,,,0,0,5,0,0,0,0,1,1,0,0,"Magnetic Heading",,"X",,,
,,,0,3,8,0,0,0,0,1,1,0,0,"Magnetic Heading",,"X",,,
"0     1     5",,,0,0,2,0,0,0,0,1,1,0,1,"Wind Speed",,"X",,,
,,,0,0,4,0,0,0,0,1,1,0,1,"Wind Speed",,"X",,,
,,,0,0,5,0,0,0,0,1,1,0,1,"Wind Speed",,"X",,,
,,,0,3,8,0,0,0,0,1,1,0,1,"Wind Speed",,"X",,,
"0     1     6",,,0,0,4,0,0,0,0,1,1,1,0,"Wind Direction - True",,"X",,,
,,,0,3,8,0,0,0,0,1,1,1,0,"Wind Direction - True",,"X",,,
,,,0,"B",8,0,0,0,0,1,1,1,0,"Control Word for TCAS/Mode S",,,"X",,
"0     1     7",,,0,1,0,0,0,0,0,1,1,1,1,"Selected Runway - True",,"X",,,
,,,0,4,"D",0,0,0,0,1,1,1,1,"Total-FLT Deck (LB)",,"X",,,
,,,0,5,5,0,0,0,0,1,1,1,1,"Selected Runway Heading",,"X",,,
,,,0,"A",0,0,0,0,0,1,1,1,1,"Selected Runway Heading",,"X",,,
,,,0,"B",0,0,0,0,0,1,1,1,1,"Selected Runway Heading",,"X",,,
"0     2     0",,,0,2,0,0,0,0,1,0,0,0,0,"Selected Vertical Speed",,"X",,,"6-25"
,,,0,4,"D",0,0,0,1,0,0,0,0,"TNK-LD SEL (LB)",,"X",,,
,,,0,6,"D",0,0,0,1,0,0,0,0,"Landing Gear Position Infor & System Status",,,"X",,
,,,0,"A",1,0,0,0,1,0,0,0,0,"Selected Vertical Speed",,"X",,,
"0     2     1",,,0,0,2,0,0,0,1,0,0,0,1,"Selected EPR",,"X",,,"6-25"
,,,0,0,2,0,0,0,1,0,0,0,1,"Selected N1",,"X",,,"6-25"
,,,0,2,0,0,0,0,1,0,0,0,1,"Selected EPR",,"X",,,
,,,0,2,0,0,0,0,1,0,0,0,1,"Selected N1",,"X",,,
,,,0,6,"D",0,0,0,1,0,0,0,1,"Landing Gear Position Infor & System Status",,,"X",,
,,,0,"A",1,0,0,0,1,0,0,0,1,"Selected EPR",,"X",,,
,,,0,"A",1,0,0,0,1,0,0,0,1,"Selected N1",,"X",,,
"0    2     2",,,0,2,0,0,0,0,1,0,0,1,0,"Selected Mach",,"X",,,"6-25"
,,,0,4,"D",0,0,0,1,0,0,1,0,"QTY-LD SEL (KG)",,"X",,,
,,,0,6,"D",0,0,0,1,0,0,1,0,"Landing Gear Position Infor & System Status",,,"X",,
,,,0,"A",1,0,0,0,1,0,0,1,0,"Selected Mach",,"X",,,
"0     2     3",,,0,2,0,0,0,0,1,0,0,1,1,"Selected Heading",,"X",,,"6-25"
,,,0,4,"D",0,0,0,1,0,0,1,1,"QTY-LD SEL (KG)",,"X",,,
,,,0,6,"D",0,0,0,1,0,0,1,1,"Landing Gear Position Infor & System Status",,,"X",,
,,,0,"A",1,0,0,0,1,0,0,1,1,"Selected Heading",,"X",,,
"0     2     4",,,0,1,1,0,0,0,1,0,1,0,0,"Selected Course #1",,"X",,,"6-25"
,,,0,2,0,0,0,0,1,0,1,0,0,"Selected Course #1",,"X",,,
,,,0,6,"D",0,0,0,1,0,1,0,0,"Landing Gear Position Infor & System Status",,,"X",,
,,,0,"A",1,0,0,0,1,0,1,0,0,"Selected Course #1",,"X",,,
,,,0,"B",1,0,0,0,1,0,1,0,0,"Selected Course #1",,"X",,,
"0    2     5",,,0,2,0,0,0,0,1,0,1,0,1,"Selected Altitude",,"X",,,"6-25"
,,,0,4,"D",0,0,0,1,0,1,0,1,"Load SEL Control","X",,,,
,,,0,"A",1,0,0,0,1,0,1,0,1,"Selected Altitude",,"X",,,
